MITRE Descriptions,Tactic1,Tactic2,Tactic3,Tactic4
A user can manipulate access tokens to make a running process appear as though it is the child of a different process or belongs to someone other than the user that started the process.,PRIVILEGE_ESCALATION,DEFENSE_EVASION,,
An adversary can use built-in Windows API functions to copy access tokens from existing processes; this is known as token stealing.,PRIVILEGE_ESCALATION,DEFENSE_EVASION,,
OSX/Shlayer can escalate privileges to root by asking the user for credentials.,PRIVILEGE_ESCALATION,,,
"The sudoers file, /etc/sudoers provides the principle of least privilege such that users are running in their lowest possible permissions for most of the time and only elevate to other users or permissions as needed, typically by prompting for a password.",PRIVILEGE_ESCALATION,DEFENSE_EVASION,,
Exaramel for Linux can execute commands with high privileges via a specific binary with setuid functionality.,PRIVILEGE_ESCALATION,DEFENSE_EVASION,,
An adversary can perform several methods to take advantage of built-in control mechanisms in order to escalate privileges on a system.,PRIVILEGE_ESCALATION,DEFENSE_EVASION,,
"Adversaries can use this mechanism on their own malware to make sure they're able to execute in elevated contexts in the future. This abuse is often part of a ""shell escape"" or other actions to bypass an execution environment with restricted permissions.",PRIVILEGE_ESCALATION,DEFENSE_EVASION,,
Keydnap adds the setuid flag to a binary so it can easily elevate in the future.,PRIVILEGE_ESCALATION,DEFENSE_EVASION,,
An adversary can then use a token to authenticate to a remote system as the account for that token if the account has appropriate permissions on the remote system.,PRIVILEGE_ESCALATION,DEFENSE_EVASION,,
"Any standard user can use the runas command, and the Windows API functions, to create impersonation tokens; it does not require access to an administrator account.",PRIVILEGE_ESCALATION,DEFENSE_EVASION,,
"Duqu examines running system processes for tokens that have specific system privileges. If it finds one, it will copy the token and store it for later use. Eventually it will start new processes with the stored token attached",PRIVILEGE_ESCALATION,DEFENSE_EVASION,,
APT28 has used CVE-2015-1701 to access the SYSTEM token and copy it into the current process as part of PRIVILEGE_ESCALATION.,PRIVILEGE_ESCALATION,,,
BitPaymer can use the tokens of users to create processes on infected systems.,PRIVILEGE_ESCALATION,DEFENSE_EVASION,,
Pupy can obtain a list of SIDs and provide the option for selecting process tokens to impersonate.,PRIVILEGE_ESCALATION,DEFENSE_EVASION,,
Adversaries may create a new process with a different token to bypass access controls.,PRIVILEGE_ESCALATION,DEFENSE_EVASION,,
"If an adversary has a username and password but the user is not logged onto the system, the adversary can then create a logon session for the user.",PRIVILEGE_ESCALATION,DEFENSE_EVASION,,
Cobalt Strike can make tokens from known credentials to bypass access controls.,PRIVILEGE_ESCALATION,DEFENSE_EVASION,,
Monitor executed commands and arguments to detect token manipulation by auditing command-line activity.,PRIVILEGE_ESCALATION,DEFENSE_EVASION,,
Adversaries may configure system settings to automatically execute a program during system boot or logon to maintain PERSISTENCE or gain higher-level privileges on compromised systems.,PRIVILEGE_ESCALATION,PERSISTENCE,,
Dtrackâ€™s RAT makes a persistent target file with auto EXECUTION on the host start.,PRIVILEGE_ESCALATION,PERSISTENCE,,
Adversaries may create or modify system-level processes to repeatedly execute malicious payloads as part of Persistence.,PRIVILEGE_ESCALATION,PERSISTENCE,,
Adversaries may achieve Persistence by adding a program to a startup folder or referencing it with a Registry run key.,PRIVILEGE_ESCALATION,PERSISTENCE,,
Agent Tesla can add itself to the Registry as a startup program to establish PERSISTENCE.,PRIVILEGE_ESCALATION,PERSISTENCE,,
Process injection is a method of executing arbitrary code in the address space of a separate live process.,PRIVILEGE_ESCALATION,DEFENSE_EVASION,,
Execution via process injection may also evade detection from security products since the execution is masked under a legitimate process.,PRIVILEGE_ESCALATION,DEFENSE_EVASION,,
APT28 has deployed malware that has copied itself to the startup directory for Persistence,PRIVILEGE_ESCALATION,PERSISTENCE,,
Adversaries may abuse authentication packages to execute DLLs when the system boots,PRIVILEGE_ESCALATION,PERSISTENCE,,
Adversaries can use the autostart mechanism provided by LSA authentication packages for PERSISTENCE by placing a reference to a binary in the Windows Registry location,PRIVILEGE_ESCALATION,PERSISTENCE,,
Adversaries may abuse security support providers (SSPs) to execute DLLs when the system boots.,PRIVILEGE_ESCALATION,PERSISTENCE,,
Monitor executed commands and arguments that may abuse security support providers (SSPs) to execute DLLs when the system boots.,PRIVILEGE_ESCALATION,PERSISTENCE,,
Compromised credentials may grant an adversary increased privilege to specific systems or access to restricted areas of the network.,PRIVILEGE_ESCALATION,DEFENSE_EVASION,PERSISTENCE,INITIAL_ACCESS
"The overlap of permissions for local, domain, and cloud accounts across a network of systems is of concern because the adversary may be able to pivot across accounts and systems to reach a high level of access to bypass access controls set within the enterprise.",PRIVILEGE_ESCALATION,DEFENSE_EVASION,PERSISTENCE,INITIAL_ACCESS
Techniques used to get credentials include keylogging or credential dumping.,CREDENTIAL_ACCESS,,,
Adversaries may manipulate victim DNS settings to enable other malicious activities such as preventing/redirecting users from accessing legitimate sites and/or pushing additional malware.,CREDENTIAL_ACCESS,COLLECTION,,
Adversaries may attempt to position themselves between two or more networked devices using an adversary-in-the-middle (AiTM) technique to support follow-on behaviors such as Network Sniffing or Transmitted Data Manipulation.,CREDENTIAL_ACCESS,COLLECTION,,
Adversaries may poison Address Resolution Protocol (ARP) caches to position themselves between the communication of two or more networked devices.,CREDENTIAL_ACCESS,COLLECTION,,
"Without knowledge of the password for an account or set of accounts, an adversary may systematically guess the password using a repetitive or iterative mechanism.",CREDENTIAL_ACCESS,,,
"Adversaries may attempt to brute force access to Valid Accounts within a victim environment leveraging knowledge gathered from other post-compromise behaviors such as OS Credential Dumping, Account Discovery or Password Policy Discovery.",CREDENTIAL_ACCESS,,,
APT38 has used brute force techniques to attempt account access when passwords are unknown or when password hashes are unavailable.,CREDENTIAL_ACCESS,,,
"Exploitation of a software vulnerability occurs when an adversary takes advantage of a programming error in a program, service, or within the operating system software or kernel itself to execute adversary-controlled code.",CREDENTIAL_ACCESS,,,
Makes it difficult for adversaries to advance their operation through exploitation of undiscovered or unpatched vulnerabilities by using sandboxing,CREDENTIAL_ACCESS,,,
MS14-068 targets Kerberos and can be used to forge Kerberos tickets using domain user permissions.,CREDENTIAL_ACCESS,,,
"Web applications and services often use session cookies, tokens, or other materials to authenticate and authorize user access.",CREDENTIAL_ACCESS,,,
"Adversaries may use web credentials to access resources (ex: Use Alternate Authentication Material), which may bypass multi-factor and other authentication protection mechanisms.",CREDENTIAL_ACCESS,,,
Restrict permissions and access to the AD FS server to only originate from privileged access workstations,CREDENTIAL_ACCESS,,,
"If a smart card is used for multi-factor authentication, then a keylogger will need to be used to obtain the password associated with a smart card during normal use.",CREDENTIAL_ACCESS,,,
"It is common for one-time codes to be sent via out-of-band communications (email, SMS). If the device and/or service is not secured, then it may be vulnerable to interception.",CREDENTIAL_ACCESS,,,
"An adversary may place a network interface into promiscuous mode to passively access data in transit over the network, or use span ports to capture a larger amount of data.",CREDENTIAL_ACCESS,DISCOVERY,,
"Techniques for name service resolution poisoning, such as LLMNR/NBT-NS Poisoning and SMB Relay, can also be used to capture credentials to websites, proxies, and internal systems by redirecting traffic to an adversary.",CREDENTIAL_ACCESS,DISCOVERY,,
"APT28 deployed the open source tool Responder to conduct NetBIOS Name Service poisoning, which captured usernames and hashed passwords that allowed access to legitimate credentials.",CREDENTIAL_ACCESS,DISCOVERY,,
An adversary may steal web application or service session cookies and use them to gain access to web applications or Internet services as an authenticated user without needing credentials.,CREDENTIAL_ACCESS,,,
APT29 has stolen Chrome browser cookies by copying the Chrome profile directories of targeted users.,CREDENTIAL_ACCESS,,,
